0.00987442 Four construction workers pose for a picture near water.  a
0.00987442 Five people are sitting in a circle with instruments.  a
0.00987442 The construction worker has on an orange hard hat.  the
0.00987442 Three men were involved in a light hearted discussion.  a
0.00987442 Several people are standing in a crowded urban environment.  a
0.00987442 Five people are sitting in a circle with instruments.  a
0.00987442 Many kids are participating in a potato sack race.  a
0.00987442 Some people are sitting around a fire and drinking.  a
0.00987442 Four people are standing on a low cement ledge  a
0.00987442 Two men are racing in a tire rolling competition  a
0.00987442 Four people are sitting on a low cement ledge  a
0.00987442 The cleaning staff appreciates our picking up our messes.  the
0.00987442 The firm has successfully defended cases in North Carolina.  the
0.111111 Two man are outdoors cooking over an open fire. 
0.111111 Child in bathing suite walking towards water on beach. 
0.111111 Two men both with dark hair wearing striped vests. 
0.111111 German Shepherd jumping through black hoop while people watch 
0.111111 Five young girls wearing headbands sitting on park bench 
0.111111 Men in traditional Scottish attire marching and playing bagpipes. 
0.111111 Two men both with dark hair wearing striped vests. 
0.111111 Three workers are performing their jobs while on scaffolding. 
0.111111 Man with orange dyed hair playing an electric guitar. 
0.111111 Two men leaning on some railing at water side. 
0.111111 People sitting in chairs while dog lies in grass 
0.111111 People sitting in chairs while dog lies in grass 
0.111111 Man with orange dyed hair playing an electric guitar. 
0.111111 Grandmother and her granddaughter opening presents at Christmas time. 
0.111111 Two dogs are leaping through snowy grass and rocks 
0.120986 Man grooms a tree while a child helps him.  a a
0.120986 A man steps out of a blue porta potty.  a a
0.120986 Man grooms a tree while a child helps him.  a a
0.120986 Two men standing next to a fire at night.  to a
0.120986 A red bike jumps toward a person in yellow.  a a
0.120986 A large grassy field with a children's jumping castle.  a a
0.120986 These fisherman are on a boat out to sea.  a to
0.120986 A man playing pool on a blue pool table.  a a
0.120986 A woman and child in a strawberry amusement ride.  a a
0.120986 A man playing pool on a blue pool table.  a a
0.120986 A woman sorts things on a bright blue cloth.  a a
0.120986 The children of a family are playing and waiting  the a
0.120986 An old woman is shaking hands with a man  is a
0.120986 A soccer player is being tackled by his opponent  a is
0.120986 One small child is drinking water from the cup  is the
0.120986 The puppy hates when I slam the door shut.  the the
